"Function: oGTa, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,28.0,59.0,93.0,76.0,110.0,139.0,92.0,80.0,66.0,49.0,98.0,nan,890.0
Applied,ASL,29.0,34.0,53.0,50.0,92.0,86.0,63.0,61.0,66.0,68.0,56.0,nan,658.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,nan,13.0
Realized,ASL,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,nan,14.0
Finished,ASL,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,nan,7.0
Completed,ASL,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,nan,5.0

"Function: oGTa, Term: 23.24"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,27.0,37.0,85.0,32.0,34.0,46.0,25.0,18.0,46.0,48.0,52.0,nan,450.0
Applied,ASL,34.0,32.0,65.0,42.0,47.0,55.0,34.0,26.0,24.0,29.0,37.0,nan,425.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,nan,7.0
Realized,ASL,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,nan,10.0
Finished,ASL,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,nan,10.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,nan,5.0

"Function: oGTa, Term: 24.25"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,39.0,405.0,40.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,546.0
Applied,ASL,nan,43.0,411.0,67.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,564.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,7.0
Realized,ASL,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0
Finished,ASL,nan,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,7.0
Completed,ASL,nan,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,3.0

"Function: iGTa, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0
Applied,ASL,174.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Realized,ASL,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
Finished,ASL,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: iGTa, Term: 16.17"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,3.0,2.0,11.0,3.0,8.0,7.0,4.0,2.0,6.0,13.0,13.0,nan,72.0
Applied,ASL,118.0,166.0,155.0,134.0,125.0,69.0,150.0,57.0,110.0,196.0,339.0,nan,1619.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,6.0,5.0,2.0,5.0,6.0,3.0,4.0,4.0,3.0,2.0,10.0,nan,50.0
Realized,ASL,7.0,3.0,4.0,1.0,2.0,1.0,6.0,2.0,5.0,5.0,1.0,nan,37.0
Finished,ASL,5.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,nan,32.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0

"Function: iGTa, Term: 17.18"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,15.0,12.0,4.0,12.0,6.0,6.0,5.0,22.0,11.0,1.0,10.0,nan,104.0
Applied,ASL,207.0,176.0,193.0,262.0,219.0,341.0,323.0,410.0,133.0,87.0,258.0,nan,2609.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,6.0,5.0,13.0,6.0,6.0,4.0,9.0,4.0,3.0,3.0,3.0,nan,62.0
Realized,ASL,5.0,4.0,9.0,4.0,5.0,5.0,3.0,12.0,0.0,2.0,1.0,nan,50.0
Finished,ASL,11.0,2.0,5.0,6.0,7.0,0.0,3.0,12.0,6.0,4.0,3.0,nan,59.0
Completed,ASL,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,nan,16.0

"Function: iGTa, Term: 18.19"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,12.0,7.0,9.0,9.0,5.0,3.0,19.0,11.0,13.0,3.0,4.0,nan,95.0
Applied,ASL,349.0,186.0,193.0,397.0,298.0,311.0,362.0,410.0,317.0,510.0,386.0,nan,3719.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,6.0,1.0,3.0,3.0,4.0,3.0,5.0,14.0,7.0,6.0,2.0,nan,54.0
Realized,ASL,2.0,4.0,3.0,0.0,0.0,5.0,1.0,3.0,12.0,6.0,5.0,nan,41.0
Finished,ASL,4.0,2.0,5.0,5.0,3.0,6.0,1.0,2.0,3.0,1.0,2.0,nan,34.0
Completed,ASL,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,nan,13.0

"Function: iGTa, Term: 19.20"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,4.0,2.0,1.0,11.0,2.0,9.0,4.0,8.0,6.0,3.0,nan,50.0
Applied,ASL,nan,312.0,483.0,401.0,326.0,396.0,411.0,418.0,486.0,450.0,258.0,nan,3941.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,4.0,3.0,1.0,0.0,5.0,4.0,4.0,1.0,4.0,3.0,nan,29.0
Realized,ASL,nan,6.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,5.0,4.0,nan,29.0
Finished,ASL,nan,4.0,13.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,nan,37.0
Completed,ASL,nan,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,nan,12.0

"Function: iGTa, Term: 21.22"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0
Applied,ASL,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,126.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0
Realized,ASL,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0
Finished,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Completed,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0

"Function: iGTa, Term: 22.23"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,4.0,7.0,2.0,3.0,4.0,1.0,6.0,2.0,8.0,16.0,10.0,nan,63.0
Applied,ASL,150.0,90.0,141.0,94.0,63.0,59.0,68.0,82.0,130.0,162.0,122.0,nan,1161.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,3.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,nan,11.0
Realized,ASL,4.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,nan,14.0
Finished,ASL,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,nan,15.0
Completed,ASL,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,nan,8.0

"Function: iGTa, Term: 23.24"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,2.0,2.0,5.0,3.0,8.0,2.0,2.0,1.0,6.0,4.0,4.0,nan,39.0
Applied,ASL,89.0,87.0,60.0,105.0,105.0,70.0,91.0,99.0,150.0,86.0,116.0,nan,1058.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,nan,11.0
Realized,ASL,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,nan,8.0
Finished,ASL,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,nan,10.0
Completed,ASL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,nan,3.0

"Function: iGTa, Term: 24.25"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,nan,8.0,25.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,49.0
Applied,ASL,nan,123.0,288.0,162.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,633.0
Accepted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Approved,ASL,nan,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,9.0
Realized,ASL,nan,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,3.0
Finished,ASL,nan,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,nan,9.0
Completed,ASL,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0

"Function: iGV, Term: 15.16"
Index,Entity,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Open,ASL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
