status,function,function_new,Month,APP,Month in Dates,Months for Analysis,Term
Realized,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Realized,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Realized,oGE,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Realized,Old oGT,oGTa,October 2016,2.0,2016-10-01,OCT,16.17
Realized,Old oGV,oGV,October 2016,3.0,2016-10-01,OCT,16.17
Approved,Old oGT,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Approved,Old oGV,oGV,October 2016,13.0,2016-10-01,OCT,16.17
Approved,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Approved,oGE,oGTa,October 2016,1.0,2016-10-01,OCT,16.17
Completed,Old iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Applied,Old oGV,oGV,October 2016,50.0,2016-10-01,OCT,16.17
Completed,iGTa,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Completed,iGTe,iGTe,October 2016,0.0,2016-10-01,OCT,16.17
Completed,oGE,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Approved,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Completed,iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Completed,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Approved,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Completed,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Completed,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Completed,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Completed,Old iGT,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Completed,Old oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Completed,Old oGT,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Finished,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Applied,iGTa,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Applied,iGTe,iGTe,October 2016,0.0,2016-10-01,OCT,16.17
Finished,Old iGT,iGTa,October 2016,2.0,2016-10-01,OCT,16.17
Finished,Old iGV,iGV,October 2016,33.0,2016-10-01,OCT,16.17
Approved,Old iGT,iGTa,October 2016,2.0,2016-10-01,OCT,16.17
Applied,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Approved,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Applied,iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Approved,iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Applied,Old iGV,iGV,October 2016,290.0,2016-10-01,OCT,16.17
Approved,iGTe,iGTe,October 2016,0.0,2016-10-01,OCT,16.17
Applied,Old iGT,iGTa,October 2016,196.0,2016-10-01,OCT,16.17
Approved,iGTa,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,iGTe,iGTe,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,Old oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,iGTa,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Finished,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,Old oGT,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Finished,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,oGE,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Finished,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Finished,oGE,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,Old iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Applied,Old oGT,oGTa,October 2016,8.0,2016-10-01,OCT,16.17
Finished,Old oGT,oGTa,October 2016,1.0,2016-10-01,OCT,16.17
Finished,Old oGV,oGV,October 2016,3.0,2016-10-01,OCT,16.17
Applied,oGE,oGTa,October 2016,3.0,2016-10-01,OCT,16.17
Remote Realized,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Applied,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Applied,oGTa,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Remote Realized,Old iGT,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Applied,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Open,oGV,oGV,October 2016,0.0,2016-10-01,OCT,16.17
Open,oGT Old,oGTa,October 2016,0.0,2016-10-01,OCT,16.17
Open,oGE,oGTa,October 2016,8.0,2016-10-01,OCT,16.17
Open,oGV,oGV,October 2016,93.0,2016-10-01,OCT,16.17
Open,oGTa,oGTa,October 2016,43.0,2016-10-01,OCT,16.17
Open,oGTe,oGTe,October 2016,0.0,2016-10-01,OCT,16.17
Open,iGV,iGV,October 2016,38.0,2016-10-01,OCT,16.17
Open,iGT Old,iGTa,October 2016,13.0,2016-10-01,OCT,16.17
Open,iGE,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Open,iGV,iGV,October 2016,0.0,2016-10-01,OCT,16.17
Open,iGTa,iGTa,October 2016,0.0,2016-10-01,OCT,16.17
Open,iGTe,iGTe,October 2016,0.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,547.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,129.0,2016-10-01,OCT,16.17
Accepted,Total,Total,October 2016,69.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,47.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,20.0,2016-10-01,OCT,16.17
Realized,Total,Total,October 2016,0.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,39.0,2016-10-01,OCT,16.17
Total,Total,Total,October 2016,0.0,2016-10-01,OCT,16.17
Realized,Old iGT,iGTa,November 2016,1.0,2016-11-01,NOV,16.17
Realized,Old iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Realized,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Realized,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Realized,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Realized,iGE,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Approved,Old iGV,iGV,November 2016,149.0,2016-11-01,NOV,16.17
Finished,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Finished,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Finished,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Realized,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Realized,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Realized,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Realized,oGE,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Realized,Old oGT,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Realized,Old oGV,oGV,November 2016,7.0,2016-11-01,NOV,16.17
Approved,Old oGT,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Approved,Old oGV,oGV,November 2016,41.0,2016-11-01,NOV,16.17
Approved,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Approved,oGE,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,Old iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Applied,Old oGV,oGV,November 2016,69.0,2016-11-01,NOV,16.17
Completed,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Completed,oGE,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Approved,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Completed,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Completed,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Approved,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Completed,iGE,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,Old iGT,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Completed,Old oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Completed,Old oGT,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Finished,iGE,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Applied,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Applied,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Finished,Old iGT,iGTa,November 2016,3.0,2016-11-01,NOV,16.17
Finished,Old iGV,iGV,November 2016,9.0,2016-11-01,NOV,16.17
Approved,Old iGT,iGTa,November 2016,9.0,2016-11-01,NOV,16.17
Applied,iGE,iGTa,November 2016,63.0,2016-11-01,NOV,16.17
Approved,iGE,iGTa,November 2016,1.0,2016-11-01,NOV,16.17
Applied,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Approved,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Applied,Old iGV,iGV,November 2016,678.0,2016-11-01,NOV,16.17
Approved,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Applied,Old iGT,iGTa,November 2016,276.0,2016-11-01,NOV,16.17
Approved,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,Old oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Finished,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,Old oGT,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Finished,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,oGE,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Finished,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Finished,oGE,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,Old iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Applied,Old oGT,oGTa,November 2016,15.0,2016-11-01,NOV,16.17
Finished,Old oGT,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Finished,Old oGV,oGV,November 2016,8.0,2016-11-01,NOV,16.17
Applied,oGE,oGTa,November 2016,2.0,2016-11-01,NOV,16.17
Remote Realized,iGE,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Applied,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Applied,oGTa,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Remote Realized,Old iGT,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Applied,oGTe,oGTe,November 2016,0.0,2016-11-01,NOV,16.17
Open,oGV,oGV,November 2016,0.0,2016-11-01,NOV,16.17
Open,oGT Old,oGTa,November 2016,0.0,2016-11-01,NOV,16.17
Open,oGE,oGTa,November 2016,7.0,2016-11-01,NOV,16.17
Open,oGV,oGV,November 2016,96.0,2016-11-01,NOV,16.17
Open,oGTa,oGTa,November 2016,42.0,2016-11-01,NOV,16.17
Open,oGTe,oGTe,November 2016,1.0,2016-11-01,NOV,16.17
Open,iGV,iGV,November 2016,14.0,2016-11-01,NOV,16.17
Open,iGT Old,iGTa,November 2016,8.0,2016-11-01,NOV,16.17
Open,iGE,iGTa,November 2016,5.0,2016-11-01,NOV,16.17
Open,iGV,iGV,November 2016,0.0,2016-11-01,NOV,16.17
Open,iGTa,iGTa,November 2016,0.0,2016-11-01,NOV,16.17
Open,iGTe,iGTe,November 2016,0.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,1103.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,442.0,2016-11-01,NOV,16.17
Accepted,Total,Total,November 2016,243.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,200.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,8.0,2016-11-01,NOV,16.17
Realized,Total,Total,November 2016,0.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,20.0,2016-11-01,NOV,16.17
Total,Total,Total,November 2016,0.0,2016-11-01,NOV,16.17
Realized,Old iGT,iGTa,January 2017,6.0,2017-01-01,JAN,16.17
Realized,Old iGV,iGV,January 2017,223.0,2017-01-01,JAN,16.17
Realized,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Realized,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Realized,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Realized,iGE,iGTa,January 2017,1.0,2017-01-01,JAN,16.17
Approved,Old iGV,iGV,January 2017,51.0,2017-01-01,JAN,16.17
Finished,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Finished,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Finished,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Realized,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Realized,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Realized,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Realized,oGE,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Realized,Old oGT,oGTa,January 2017,1.0,2017-01-01,JAN,16.17
Realized,Old oGV,oGV,January 2017,52.0,2017-01-01,JAN,16.17
Approved,Old oGT,oGTa,January 2017,1.0,2017-01-01,JAN,16.17
Approved,Old oGV,oGV,January 2017,29.0,2017-01-01,JAN,16.17
Approved,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Approved,oGE,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,Old iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Applied,Old oGV,oGV,January 2017,37.0,2017-01-01,JAN,16.17
Completed,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Completed,oGE,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Approved,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Completed,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Completed,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Approved,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Completed,iGE,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,Old iGT,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Completed,Old oGV,oGV,January 2017,1.0,2017-01-01,JAN,16.17
Completed,Old oGT,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Finished,iGE,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Applied,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Applied,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Finished,Old iGT,iGTa,January 2017,5.0,2017-01-01,JAN,16.17
Finished,Old iGV,iGV,January 2017,5.0,2017-01-01,JAN,16.17
Approved,Old iGT,iGTa,January 2017,6.0,2017-01-01,JAN,16.17
Applied,iGE,iGTa,January 2017,16.0,2017-01-01,JAN,16.17
Approved,iGE,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Applied,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Approved,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Applied,Old iGV,iGV,January 2017,191.0,2017-01-01,JAN,16.17
Approved,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Applied,Old iGT,iGTa,January 2017,102.0,2017-01-01,JAN,16.17
Approved,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,Old oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Finished,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,Old oGT,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Finished,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,oGE,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Finished,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Finished,oGE,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,Old iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Applied,Old oGT,oGTa,January 2017,13.0,2017-01-01,JAN,16.17
Finished,Old oGT,oGTa,January 2017,1.0,2017-01-01,JAN,16.17
Finished,Old oGV,oGV,January 2017,24.0,2017-01-01,JAN,16.17
Applied,oGE,oGTa,January 2017,1.0,2017-01-01,JAN,16.17
Remote Realized,iGE,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Applied,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Applied,oGTa,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Remote Realized,Old iGT,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Applied,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Open,oGV,oGV,January 2017,0.0,2017-01-01,JAN,16.17
Open,oGT Old,oGTa,January 2017,0.0,2017-01-01,JAN,16.17
Open,oGE,oGTa,January 2017,3.0,2017-01-01,JAN,16.17
Open,oGV,oGV,January 2017,37.0,2017-01-01,JAN,16.17
Open,oGTa,oGTa,January 2017,20.0,2017-01-01,JAN,16.17
Open,oGTe,oGTe,January 2017,0.0,2017-01-01,JAN,16.17
Open,iGV,iGV,January 2017,6.0,2017-01-01,JAN,16.17
Open,iGT Old,iGTa,January 2017,2.0,2017-01-01,JAN,16.17
Open,iGE,iGTa,January 2017,1.0,2017-01-01,JAN,16.17
Open,iGV,iGV,January 2017,0.0,2017-01-01,JAN,16.17
Open,iGTa,iGTa,January 2017,0.0,2017-01-01,JAN,16.17
Open,iGTe,iGTe,January 2017,0.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,360.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,136.0,2017-01-01,JAN,16.17
Accepted,Total,Total,January 2017,89.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,87.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,283.0,2017-01-01,JAN,16.17
Realized,Total,Total,January 2017,0.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,35.0,2017-01-01,JAN,16.17
Total,Total,Total,January 2017,1.0,2017-01-01,JAN,16.17
Realized,Old iGT,iGTa,February 2017,4.0,2017-02-01,FEB,17.18
Realized,Old iGV,iGV,February 2017,42.0,2017-02-01,FEB,17.18
Realized,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Realized,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Realized,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Realized,iGE,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Approved,Old iGV,iGV,February 2017,24.0,2017-02-01,FEB,17.18
Finished,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Finished,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Finished,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Realized,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Realized,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Realized,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Realized,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Realized,Old oGT,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Realized,Old oGV,oGV,February 2017,31.0,2017-02-01,FEB,17.18
Approved,Old oGT,oGTa,February 2017,1.0,2017-02-01,FEB,17.18
Approved,Old oGV,oGV,February 2017,12.0,2017-02-01,FEB,17.18
Approved,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Approved,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,Old iGV,iGV,February 2017,1.0,2017-02-01,FEB,17.18
Applied,Old oGV,oGV,February 2017,26.0,2017-02-01,FEB,17.18
Completed,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Completed,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Approved,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Completed,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Completed,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Approved,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Completed,iGE,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,Old iGT,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Completed,Old oGV,oGV,February 2017,6.0,2017-02-01,FEB,17.18
Completed,Old oGT,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Finished,iGE,iGTa,February 2017,1.0,2017-02-01,FEB,17.18
Applied,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Applied,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Finished,Old iGT,iGTa,February 2017,1.0,2017-02-01,FEB,17.18
Finished,Old iGV,iGV,February 2017,79.0,2017-02-01,FEB,17.18
Approved,Old iGT,iGTa,February 2017,5.0,2017-02-01,FEB,17.18
Applied,iGE,iGTa,February 2017,20.0,2017-02-01,FEB,17.18
Approved,iGE,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Applied,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Approved,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Applied,Old iGV,iGV,February 2017,598.0,2017-02-01,FEB,17.18
Approved,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Applied,Old iGT,iGTa,February 2017,156.0,2017-02-01,FEB,17.18
Approved,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,Old oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Finished,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,Old oGT,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Finished,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Finished,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Finished,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,Old iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Applied,Old oGT,oGTa,February 2017,15.0,2017-02-01,FEB,17.18
Finished,Old oGT,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Finished,Old oGV,oGV,February 2017,37.0,2017-02-01,FEB,17.18
Applied,oGE,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,iGE,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Applied,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Applied,oGTa,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Remote Realized,Old iGT,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Applied,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Open,oGV,oGV,February 2017,0.0,2017-02-01,FEB,17.18
Open,oGT Old,oGTa,February 2017,0.0,2017-02-01,FEB,17.18
Open,oGE,oGTa,February 2017,8.0,2017-02-01,FEB,17.18
Open,oGV,oGV,February 2017,41.0,2017-02-01,FEB,17.18
Open,oGTa,oGTa,February 2017,31.0,2017-02-01,FEB,17.18
Open,oGTe,oGTe,February 2017,0.0,2017-02-01,FEB,17.18
Open,iGV,iGV,February 2017,50.0,2017-02-01,FEB,17.18
Open,iGT Old,iGTa,February 2017,11.0,2017-02-01,FEB,17.18
Open,iGE,iGTa,February 2017,1.0,2017-02-01,FEB,17.18
Open,iGV,iGV,February 2017,0.0,2017-02-01,FEB,17.18
Open,iGTa,iGTa,February 2017,0.0,2017-02-01,FEB,17.18
Open,iGTe,iGTe,February 2017,0.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,815.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,119.0,2017-02-01,FEB,17.18
Accepted,Total,Total,February 2017,59.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,42.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,77.0,2017-02-01,FEB,17.18
Realized,Total,Total,February 2017,0.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,118.0,2017-02-01,FEB,17.18
Total,Total,Total,February 2017,7.0,2017-02-01,FEB,17.18
Realized,Old iGT,iGTa,March 2017,8.0,2017-03-01,MAR,17.18
Realized,Old iGV,iGV,March 2017,16.0,2017-03-01,MAR,17.18
Realized,iGTa,iGTa,March 2017,0.0,2017-03-01,MAR,17.18
Realized,iGV,iGV,March 2017,0.0,2017-03-01,MAR,17.18
Realized,iGTe,iGTe,March 2017,0.0,2017-03-01,MAR,17.18
Realized,iGE,iGTa,March 2017,1.0,2017-03-01,MAR,17.18
Approved,Old iGV,iGV,March 2017,137.0,2017-03-01,MAR,17.18
Finished,iGTa,iGTa,March 2017,0.0,2017-03-01,MAR,17.18
Finished,iGV,iGV,March 2017,0.0,2017-03-01,MAR,17.18
Finished,iGTe,iGTe,March 2017,0.0,2017-03-01,MAR,17.18
Realized,oGTe,oGTe,March 2017,0.0,2017-03-01,MAR,17.18
Realized,oGTa,oGTa,March 2017,0.0,2017-03-01,MAR,17.18
Realized,oGV,oGV,March 2017,0.0,2017-03-01,MAR,17.18
Realized,oGE,oGTa,March 2017,0.0,2017-03-01,MAR,17.18
Realized,Old oGT,oGTa,March 2017,0.0,2017-03-01,MAR,17.18
