index,Entity,Function,Term,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,221,oGTa,15.16,,,,,,,,,,,,13.0,13.0
1,221,oGTa,15.16,,,,,,,,,,,,9.0,9.0
2,221,oGTa,15.16,,,,,,,,,,,,0.0,0.0
3,221,oGTa,15.16,,,,,,,,,,,,0.0,0.0
4,221,oGTa,15.16,,,,,,,,,,,,0.0,0.0
5,221,oGTa,15.16,,,,,,,,,,,,0.0,0.0
6,221,oGTa,15.16,,,,,,,,,,,,0.0,0.0
7,221,oGTa,16.17,0.0,2.0,0.0,13.0,10.0,6.0,6.0,0.0,6.0,6.0,2.0,3.0,54.0
8,221,oGTa,16.17,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0
9,221,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,221,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,221,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,221,oGTa,16.17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13,221,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,221,oGTa,17.18,6.0,4.0,22.0,16.0,20.0,13.0,9.0,9.0,4.0,1.0,9.0,19.0,132.0
15,221,oGTa,17.18,1.0,5.0,3.0,6.0,4.0,11.0,5.0,6.0,3.0,3.0,5.0,6.0,58.0
16,221,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
17,221,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
18,221,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
19,221,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,221,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,221,oGTa,18.19,14.0,22.0,20.0,6.0,6.0,13.0,13.0,17.0,13.0,16.0,6.0,9.0,155.0
22,221,oGTa,18.19,8.0,11.0,14.0,10.0,14.0,14.0,17.0,17.0,13.0,18.0,14.0,14.0,164.0
