status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Accepted by Host,oGE,oGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,Old iGT,iGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Realized,Old iGV,iGV,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,oGTe,oGTe,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Accepted by Host,oGTa,oGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Accepted by Host,oGV,oGV,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,iGTa,iGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Realized,iGV,iGV,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Realized,iGTe,iGTe,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted,oGTe,oGTe,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted by Host,Old oGT,oGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Accepted,oGTa,oGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted by Host,Old oGV,oGV,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Accepted,oGV,oGV,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Realized,iGE,iGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Finished,iGTa,iGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,iGV,iGV,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,iGTe,iGTe,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Realized,oGTe,oGTe,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,iGTe,iGTe,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,oGTa,oGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,iGTa,iGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,oGV,oGV,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,iGV,iGV,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,oGE,oGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,iGE,iGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,Old oGT,oGTa,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,Old iGT,iGTa,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Realized,Old oGV,oGV,January 2016,0.0,2016-01-01,Realized,JAN,15.16
Accepted by Host,Old iGV,iGV,January 2016,0.0,2016-01-01,Accepted by Host,JAN,15.16
Accepted,oGE,oGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,Old oGT,oGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,Old oGV,oGV,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Approved,oGTe,oGTe,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Approved,oGTa,oGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Finished,iGE,iGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,Old iGT,iGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,Old iGV,iGV,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Remote Realized,oGTe,oGTe,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,oGTa,oGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,Old oGV,oGV,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,Old oGT,oGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,oGE,oGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,oGV,oGV,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Accepted,iGV,iGV,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,iGE,iGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,iGTa,iGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,iGTe,iGTe,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Accepted,Old iGT,iGTa,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Approved,Old iGV,iGV,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Accepted,Old iGV,iGV,January 2016,0.0,2016-01-01,Accepted,JAN,15.16
Approved,Old oGT,oGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Approved,Old oGV,oGV,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Approved,oGV,oGV,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Approved,oGE,oGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Completed,Old iGV,iGV,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Applied,Old oGV,oGV,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Completed,iGTa,iGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,iGTe,iGTe,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,oGE,oGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,iGV,iGV,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,oGV,oGV,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,oGTa,oGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,oGTe,oGTe,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,iGE,iGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,Old iGT,iGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,Old oGV,oGV,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Completed,Old oGT,oGTa,January 2016,0.0,2016-01-01,Completed,JAN,15.16
Applied,iGTa,iGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Applied,iGTe,iGTe,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Approved,Old iGT,iGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Applied,iGE,iGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Approved,iGE,iGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Applied,iGV,iGV,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Approved,iGV,iGV,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Applied,Old iGV,iGV,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Approved,iGTe,iGTe,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Applied,Old iGT,iGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Approved,iGTa,iGTa,January 2016,0.0,2016-01-01,Approved,JAN,15.16
Remote Realized,iGTe,iGTe,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,iGTa,iGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Remote Realized,iGV,iGV,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Finished,oGTe,oGTe,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,oGTa,oGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,oGV,oGV,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,oGE,oGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Remote Realized,Old iGV,iGV,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Applied,Old oGT,oGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Finished,Old oGT,oGTa,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Finished,Old oGV,oGV,January 2016,0.0,2016-01-01,Finished,JAN,15.16
Applied,oGE,oGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Remote Realized,iGE,iGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Applied,oGV,oGV,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Applied,oGTa,oGTa,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Remote Realized,Old iGT,iGTa,January 2016,0.0,2016-01-01,Remote Realized,JAN,15.16
Applied,oGTe,oGTe,January 2016,0.0,2016-01-01,Applied,JAN,15.16
Open,oGV,oGV,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,oGT Old,oGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,oGE,oGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,oGV,oGV,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,oGTa,oGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,oGTe,oGTe,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGV,iGV,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGT Old,iGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGE,iGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGV,iGV,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGTa,iGTa,January 2016,0.0,2016-01-01,Open,JAN,15.16
Open,iGTe,iGTe,January 2016,0.0,2016-01-01,Open,JAN,15.16
Total,Total,Total,January 2016,0.0,2016-01-01,Total,JAN,15.16
Total,Total,Total,January 2016,0.0,2016-01-01,Total,JAN,15.16
Accepted L,Total,Total,January 2016,0.0,2016-01-01,Accepted L,JAN,15.16
