"Function: oGTa, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 22.23"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,59.0,93.0,76.0,110.0,139.0,92.0,80.0,66.0,49.0,98.0,65.0,28.0,955.0
Applied,ASL,34.0,53.0,50.0,92.0,86.0,63.0,61.0,66.0,68.0,56.0,49.0,29.0,707.0
Accepted,ASL,2.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,21.0
Approved,ASL,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,14.0
Realized,ASL,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,14.0
Finished,ASL,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0
Completed,ASL,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0

"Function: oGTa, Term: 23.24"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,37.0,85.0,32.0,34.0,46.0,25.0,18.0,46.0,48.0,52.0,47.0,27.0,497.0
Applied,ASL,32.0,65.0,42.0,47.0,55.0,34.0,26.0,24.0,29.0,37.0,38.0,34.0,463.0
Accepted,ASL,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,11.0
Approved,ASL,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0
Realized,ASL,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0
Finished,ASL,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,11.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0

"Function: oGTa, Term: 24.25"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,39.0,406.0,40.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,547.0
Applied,ASL,43.0,411.0,67.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,564.0
Accepted,ASL,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,7.0
Approved,ASL,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,7.0
Realized,ASL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0
Finished,ASL,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,7.0
Completed,ASL,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,3.0

"Function: iGTa, Term: 15.16"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0
Applied,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0,174.0
Accepted,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0
Approved,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0
Realized,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0
Finished,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,8.0
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: iGTa, Term: 16.17"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,2.0,11.0,3.0,8.0,7.0,4.0,2.0,6.0,13.0,13.0,9.0,3.0,81.0
Applied,ASL,166.0,155.0,134.0,125.0,69.0,150.0,57.0,110.0,196.0,339.0,235.0,118.0,1854.0
Accepted,ASL,7.0,4.0,4.0,6.0,4.0,6.0,3.0,3.0,3.0,8.0,4.0,6.0,58.0
Approved,ASL,5.0,2.0,5.0,6.0,3.0,4.0,4.0,3.0,2.0,10.0,1.0,6.0,51.0
Realized,ASL,3.0,4.0,1.0,2.0,1.0,6.0,2.0,5.0,5.0,1.0,5.0,7.0,42.0
Finished,ASL,3.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,35.0
Completed,ASL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

"Function: iGTa, Term: 17.18"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,12.0,4.0,12.0,6.0,6.0,5.0,22.0,11.0,1.0,10.0,7.0,15.0,111.0
Applied,ASL,176.0,193.0,262.0,219.0,341.0,323.0,410.0,133.0,87.0,258.0,196.0,207.0,2805.0
Accepted,ASL,9.0,9.0,7.0,7.0,5.0,10.0,6.0,7.0,1.0,3.0,4.0,7.0,75.0
Approved,ASL,5.0,13.0,6.0,6.0,4.0,9.0,4.0,3.0,3.0,3.0,6.0,6.0,68.0
Realized,ASL,4.0,9.0,4.0,5.0,5.0,3.0,12.0,0.0,2.0,1.0,6.0,5.0,56.0
Finished,ASL,2.0,5.0,6.0,7.0,0.0,3.0,12.0,6.0,4.0,3.0,2.0,11.0,61.0
Completed,ASL,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,6.0,16.0

"Function: iGTa, Term: 18.19"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,7.0,9.0,9.0,5.0,3.0,19.0,11.0,13.0,3.0,4.0,2.0,12.0,97.0
Applied,ASL,186.0,193.0,397.0,298.0,311.0,362.0,410.0,317.0,510.0,386.0,242.0,349.0,3961.0
Accepted,ASL,4.0,1.0,3.0,3.0,5.0,5.0,16.0,8.0,5.0,2.0,2.0,6.0,60.0
Approved,ASL,1.0,3.0,3.0,4.0,3.0,5.0,14.0,7.0,6.0,2.0,2.0,6.0,56.0
Realized,ASL,4.0,3.0,0.0,0.0,5.0,1.0,3.0,12.0,6.0,5.0,2.0,2.0,43.0
Finished,ASL,2.0,5.0,5.0,3.0,6.0,1.0,2.0,3.0,1.0,2.0,9.0,4.0,43.0
Completed,ASL,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,16.0

"Function: iGTa, Term: 19.20"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,4.0,2.0,1.0,11.0,2.0,9.0,4.0,8.0,6.0,3.0,2.0,nan,52.0
Applied,ASL,312.0,483.0,401.0,326.0,396.0,411.0,418.0,486.0,450.0,258.0,158.0,nan,4099.0
Accepted,ASL,5.0,7.0,2.0,0.0,7.0,4.0,4.0,3.0,4.0,3.0,3.0,nan,42.0
Approved,ASL,4.0,3.0,1.0,0.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,nan,33.0
Realized,ASL,6.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,5.0,4.0,0.0,nan,29.0
Finished,ASL,4.0,13.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,nan,38.0
Completed,ASL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,nan,12.0

"Function: iGTa, Term: 21.22"
Index,Entity,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0
Applied,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,126.0,126.0
Accepted,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,6.0
Approved,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,9.0
Realized,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,5.0
Finished,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,ASL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: iGTa, Term: 22.23"
