"Function: oGTa, Term: 15.16"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Applied,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Accepted,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Approved,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Realized,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0
Finished,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,CC,nan,oGTa,15.16,2015,CC - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 16.17"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CC,nan,oGTa,16.17,2016,CC - 2016,4.0,6.0,3.0,2.0,4.0,8.0,5.0,5.0,11.0,3.0,5.0,4.0,60.0
Applied,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,1.0,1.0,4.0,6.0,2.0,6.0,3.0,3.0,2.0,2.0,6.0,36.0
Accepted,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
Approved,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
Realized,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0
Finished,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Completed,CC,nan,oGTa,16.17,2016,CC - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

"Function: oGTa, Term: 17.18"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CC,nan,oGTa,17.18,2017,CC - 2017,3.0,0.0,12.0,31.0,14.0,11.0,14.0,15.0,9.0,6.0,11.0,12.0,138.0
Applied,CC,nan,oGTa,17.18,2017,CC - 2017,4.0,1.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,12.0,4.0,7.0,51.0
Accepted,CC,nan,oGTa,17.18,2017,CC - 2017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
Approved,CC,nan,oGTa,17.18,2017,CC - 2017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
Realized,CC,nan,oGTa,17.18,2017,CC - 2017,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Finished,CC,nan,oGTa,17.18,2017,CC - 2017,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
Completed,CC,nan,oGTa,17.18,2017,CC - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0

"Function: oGTa, Term: 18.19"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CC,nan,oGTa,18.19,2018,CC - 2018,19.0,16.0,17.0,25.0,15.0,12.0,9.0,29.0,31.0,15.0,6.0,7.0,201.0
Applied,CC,nan,oGTa,18.19,2018,CC - 2018,8.0,11.0,16.0,16.0,19.0,12.0,17.0,24.0,22.0,27.0,12.0,19.0,203.0
Accepted,CC,nan,oGTa,18.19,2018,CC - 2018,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0
Approved,CC,nan,oGTa,18.19,2018,CC - 2018,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0
Realized,CC,nan,oGTa,18.19,2018,CC - 2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
