status,function,function_new,Month,APP
matched,oGE,oGTa,January 2016,0.0
realized,Old iGT,iGTa,January 2016,3.0
realized,Old iGV,iGV,January 2016,192.0
matched,oGTe,oGTe,January 2016,0.0
matched,oGTa,oGTa,January 2016,0.0
matched,oGV,oGV,January 2016,0.0
realized,iGTa,iGTa,January 2016,0.0
realized,iGV,iGV,January 2016,0.0
realized,iGTe,iGTe,January 2016,0.0
an,oGTe,oGTe,January 2016,0.0
matched,Old oGT,oGTa,January 2016,1.0
an,oGTa,oGTa,January 2016,0.0
matched,Old oGV,oGV,January 2016,4.0
an,oGV,oGV,January 2016,0.0
realized,iGE,iGTa,January 2016,0.0
an,iGV,iGV,January 2016,0.0
an,iGE,iGTa,January 2016,0.0
an,iGTa,iGTa,January 2016,0.0
an,iGTe,iGTe,January 2016,0.0
an,Old iGT,iGTa,January 2016,3.0
approved,Old iGV,iGV,January 2016,38.0
an,Old iGV,iGV,January 2016,26.0
finished,iGTa,iGTa,January 2016,0.0
finished,iGV,iGV,January 2016,0.0
finished,iGTe,iGTe,January 2016,0.0
realized,oGTe,oGTe,January 2016,0.0
matched,iGTe,iGTe,January 2016,0.0
realized,oGTa,oGTa,January 2016,0.0
matched,iGTa,iGTa,January 2016,0.0
realized,oGV,oGV,January 2016,0.0
matched,iGV,iGV,January 2016,0.0
realized,oGE,oGTa,January 2016,0.0
matched,iGE,iGTa,January 2016,0.0
realized,Old oGT,oGTa,January 2016,1.0
matched,Old iGT,iGTa,January 2016,5.0
realized,Old oGV,oGV,January 2016,26.0
matched,Old iGV,iGV,January 2016,35.0
an,oGE,oGTa,January 2016,0.0
approved,Old oGT,oGTa,January 2016,1.0
approved,Old oGV,oGV,January 2016,9.0
an,Old oGT,oGTa,January 2016,1.0
approved,oGV,oGV,January 2016,0.0
an,Old oGV,oGV,January 2016,4.0
approved,oGE,oGTa,January 2016,0.0
completed,Old iGV,iGV,January 2016,0.0
applied,Old oGV,oGV,January 2016,9.0
completed,iGTa,iGTa,January 2016,0.0
completed,iGTe,iGTe,January 2016,0.0
completed,oGE,oGTa,January 2016,0.0
approved,oGTe,oGTe,January 2016,0.0
completed,iGV,iGV,January 2016,0.0
completed,oGV,oGV,January 2016,0.0
approved,oGTa,oGTa,January 2016,0.0
completed,oGTa,oGTa,January 2016,0.0
completed,oGTe,oGTe,January 2016,0.0
completed,iGE,iGTa,January 2016,0.0
completed,Old iGT,iGTa,January 2016,0.0
completed,Old oGV,oGV,January 2016,0.0
completed,Old oGT,oGTa,January 2016,0.0
finished,iGE,iGTa,January 2016,0.0
applied,iGTa,iGTa,January 2016,0.0
applied,iGTe,iGTe,January 2016,0.0
finished,Old iGT,iGTa,January 2016,8.0
finished,Old iGV,iGV,January 2016,37.0
approved,Old iGT,iGTa,January 2016,3.0
applied,iGE,iGTa,January 2016,9.0
approved,iGE,iGTa,January 2016,0.0
applied,iGV,iGV,January 2016,0.0
approved,iGV,iGV,January 2016,0.0
applied,Old iGV,iGV,January 2016,88.0
approved,iGTe,iGTe,January 2016,0.0
applied,Old iGT,iGTa,January 2016,165.0
approved,iGTa,iGTa,January 2016,0.0
remote,oGTe,oGTe,January 2016,0.0
remote,oGTa,oGTa,January 2016,0.0
remote,iGTe,iGTe,January 2016,0.0
remote,Old oGV,oGV,January 2016,0.0
remote,iGTa,iGTa,January 2016,0.0
remote,iGV,iGV,January 2016,0.0
finished,oGTe,oGTe,January 2016,0.0
remote,Old oGT,oGTa,January 2016,0.0
finished,oGTa,oGTa,January 2016,0.0
remote,oGE,oGTa,January 2016,0.0
finished,oGV,oGV,January 2016,0.0
remote,oGV,oGV,January 2016,0.0
finished,oGE,oGTa,January 2016,0.0
remote,Old iGV,iGV,January 2016,0.0
applied,Old oGT,oGTa,January 2016,14.0
finished,Old oGT,oGTa,January 2016,0.0
finished,Old oGV,oGV,January 2016,14.0
applied,oGE,oGTa,January 2016,2.0
remote,iGE,iGTa,January 2016,0.0
applied,oGV,oGV,January 2016,0.0
applied,oGTa,oGTa,January 2016,0.0
remote,Old iGT,iGTa,January 2016,0.0
applied,oGTe,oGTe,January 2016,0.0
o,oGV,oGV,January 2016,0.0
o,oGT Old,oGTa,January 2016,0.0
o,oGE,oGTa,January 2016,4.0
o,oGV,oGV,January 2016,23.0
o,oGTa,oGTa,January 2016,22.0
o,oGTe,oGTe,January 2016,0.0
i,iGV,iGV,January 2016,0.0
i,iGT Old,iGTa,January 2016,3.0
i,iGE,iGTa,January 2016,1.0
i,iGV,iGV,January 2016,0.0
i,iGTa,iGTa,January 2016,0.0
i,iGTe,iGTe,January 2016,0.0
total,Total,Total,January 2016,287.0
total,Total,Total,January 2016,45.0
accepted,Total,Total,January 2016,34.0
total,Total,Total,January 2016,51.0
total,Total,Total,January 2016,222.0
realized,Total,Total,January 2016,0.0
total,Total,Total,January 2016,59.0
total,Total,Total,January 2016,0.0
matched,oGE,oGTa,February 2016,0.0
realized,Old iGT,iGTa,February 2016,3.0
realized,Old iGV,iGV,February 2016,38.0
matched,oGTe,oGTe,February 2016,0.0
matched,oGTa,oGTa,February 2016,0.0
matched,oGV,oGV,February 2016,0.0
realized,iGTa,iGTa,February 2016,0.0
realized,iGV,iGV,February 2016,0.0
realized,iGTe,iGTe,February 2016,0.0
an,oGTe,oGTe,February 2016,0.0
matched,Old oGT,oGTa,February 2016,3.0
an,oGTa,oGTa,February 2016,0.0
matched,Old oGV,oGV,February 2016,4.0
an,oGV,oGV,February 2016,0.0
realized,iGE,iGTa,February 2016,0.0
an,iGV,iGV,February 2016,0.0
an,iGE,iGTa,February 2016,0.0
an,iGTa,iGTa,February 2016,0.0
an,iGTe,iGTe,February 2016,0.0
an,Old iGT,iGTa,February 2016,7.0
approved,Old iGV,iGV,February 2016,20.0
an,Old iGV,iGV,February 2016,26.0
finished,iGTa,iGTa,February 2016,0.0
finished,iGV,iGV,February 2016,0.0
finished,iGTe,iGTe,February 2016,0.0
realized,oGTe,oGTe,February 2016,0.0
matched,iGTe,iGTe,February 2016,0.0
realized,oGTa,oGTa,February 2016,0.0
matched,iGTa,iGTa,February 2016,0.0
realized,oGV,oGV,February 2016,0.0
matched,iGV,iGV,February 2016,0.0
realized,oGE,oGTa,February 2016,0.0
matched,iGE,iGTa,February 2016,0.0
realized,Old oGT,oGTa,February 2016,0.0
matched,Old iGT,iGTa,February 2016,8.0
realized,Old oGV,oGV,February 2016,7.0
matched,Old iGV,iGV,February 2016,30.0
an,oGE,oGTa,February 2016,0.0
approved,Old oGT,oGTa,February 2016,0.0
approved,Old oGV,oGV,February 2016,3.0
an,Old oGT,oGTa,February 2016,3.0
approved,oGV,oGV,February 2016,0.0
an,Old oGV,oGV,February 2016,3.0
approved,oGE,oGTa,February 2016,0.0
completed,Old iGV,iGV,February 2016,0.0
applied,Old oGV,oGV,February 2016,3.0
completed,iGTa,iGTa,February 2016,0.0
completed,iGTe,iGTe,February 2016,0.0
completed,oGE,oGTa,February 2016,0.0
approved,oGTe,oGTe,February 2016,0.0
completed,iGV,iGV,February 2016,0.0
completed,oGV,oGV,February 2016,0.0
approved,oGTa,oGTa,February 2016,0.0
completed,oGTa,oGTa,February 2016,0.0
completed,oGTe,oGTe,February 2016,0.0
completed,iGE,iGTa,February 2016,0.0
completed,Old iGT,iGTa,February 2016,0.0
completed,Old oGV,oGV,February 2016,0.0
completed,Old oGT,oGTa,February 2016,0.0
finished,iGE,iGTa,February 2016,0.0
applied,iGTa,iGTa,February 2016,0.0
applied,iGTe,iGTe,February 2016,0.0
finished,Old iGT,iGTa,February 2016,3.0
finished,Old iGV,iGV,February 2016,35.0
approved,Old iGT,iGTa,February 2016,5.0
applied,iGE,iGTa,February 2016,2.0
approved,iGE,iGTa,February 2016,0.0
applied,iGV,iGV,February 2016,0.0
approved,iGV,iGV,February 2016,0.0
applied,Old iGV,iGV,February 2016,118.0
approved,iGTe,iGTe,February 2016,0.0
applied,Old iGT,iGTa,February 2016,164.0
approved,iGTa,iGTa,February 2016,0.0
remote,oGTe,oGTe,February 2016,0.0
remote,oGTa,oGTa,February 2016,0.0
remote,iGTe,iGTe,February 2016,0.0
remote,Old oGV,oGV,February 2016,0.0
remote,iGTa,iGTa,February 2016,0.0
remote,iGV,iGV,February 2016,0.0
finished,oGTe,oGTe,February 2016,0.0
remote,Old oGT,oGTa,February 2016,0.0
finished,oGTa,oGTa,February 2016,0.0
remote,oGE,oGTa,February 2016,0.0
finished,oGV,oGV,February 2016,0.0
remote,oGV,oGV,February 2016,0.0
finished,oGE,oGTa,February 2016,0.0
remote,Old iGV,iGV,February 2016,0.0
applied,Old oGT,oGTa,February 2016,7.0
finished,Old oGT,oGTa,February 2016,2.0
finished,Old oGV,oGV,February 2016,10.0
applied,oGE,oGTa,February 2016,1.0
remote,iGE,iGTa,February 2016,0.0
applied,oGV,oGV,February 2016,0.0
applied,oGTa,oGTa,February 2016,0.0
remote,Old iGT,iGTa,February 2016,0.0
applied,oGTe,oGTe,February 2016,0.0
o,oGV,oGV,February 2016,0.0
o,oGT Old,oGTa,February 2016,0.0
o,oGE,oGTa,February 2016,2.0
o,oGV,oGV,February 2016,12.0
o,oGTa,oGTa,February 2016,12.0
o,oGTe,oGTe,February 2016,0.0
i,iGV,iGV,February 2016,7.0
i,iGT Old,iGTa,February 2016,2.0
i,iGE,iGTa,February 2016,0.0
i,iGV,iGV,February 2016,0.0
i,iGTa,iGTa,February 2016,0.0
i,iGTe,iGTe,February 2016,0.0
total,Total,Total,February 2016,295.0
total,Total,Total,February 2016,45.0
accepted,Total,Total,February 2016,39.0
total,Total,Total,February 2016,28.0
total,Total,Total,February 2016,48.0
realized,Total,Total,February 2016,0.0
total,Total,Total,February 2016,50.0
total,Total,Total,February 2016,0.0
matched,oGE,oGTa,March 2016,0.0
realized,Old iGT,iGTa,March 2016,4.0
realized,Old iGV,iGV,March 2016,15.0
matched,oGTe,oGTe,March 2016,0.0
matched,oGTa,oGTa,March 2016,0.0
matched,oGV,oGV,March 2016,0.0
realized,iGTa,iGTa,March 2016,0.0
realized,iGV,iGV,March 2016,0.0
realized,iGTe,iGTe,March 2016,0.0
an,oGTe,oGTe,March 2016,0.0
matched,Old oGT,oGTa,March 2016,1.0
an,oGTa,oGTa,March 2016,0.0
matched,Old oGV,oGV,March 2016,4.0
an,oGV,oGV,March 2016,0.0
realized,iGE,iGTa,March 2016,0.0
an,iGV,iGV,March 2016,0.0
an,iGE,iGTa,March 2016,0.0
an,iGTa,iGTa,March 2016,0.0
an,iGTe,iGTe,March 2016,0.0
an,Old iGT,iGTa,March 2016,4.0
approved,Old iGV,iGV,March 2016,26.0
an,Old iGV,iGV,March 2016,33.0
finished,iGTa,iGTa,March 2016,0.0
finished,iGV,iGV,March 2016,0.0
finished,iGTe,iGTe,March 2016,0.0
realized,oGTe,oGTe,March 2016,0.0
matched,iGTe,iGTe,March 2016,0.0
realized,oGTa,oGTa,March 2016,0.0
matched,iGTa,iGTa,March 2016,0.0
realized,oGV,oGV,March 2016,0.0
matched,iGV,iGV,March 2016,0.0
realized,oGE,oGTa,March 2016,0.0
matched,iGE,iGTa,March 2016,0.0
realized,Old oGT,oGTa,March 2016,1.0
matched,Old iGT,iGTa,March 2016,5.0
realized,Old oGV,oGV,March 2016,3.0
matched,Old iGV,iGV,March 2016,59.0
an,oGE,oGTa,March 2016,0.0
approved,Old oGT,oGTa,March 2016,2.0
approved,Old oGV,oGV,March 2016,1.0
an,Old oGT,oGTa,March 2016,1.0
approved,oGV,oGV,March 2016,0.0
an,Old oGV,oGV,March 2016,3.0
approved,oGE,oGTa,March 2016,0.0
completed,Old iGV,iGV,March 2016,0.0
applied,Old oGV,oGV,March 2016,7.0
completed,iGTa,iGTa,March 2016,0.0
completed,iGTe,iGTe,March 2016,0.0
completed,oGE,oGTa,March 2016,0.0
approved,oGTe,oGTe,March 2016,0.0
completed,iGV,iGV,March 2016,0.0
completed,oGV,oGV,March 2016,0.0
approved,oGTa,oGTa,March 2016,0.0
completed,oGTa,oGTa,March 2016,0.0
completed,oGTe,oGTe,March 2016,0.0
completed,iGE,iGTa,March 2016,0.0
completed,Old iGT,iGTa,March 2016,0.0
completed,Old oGV,oGV,March 2016,1.0
completed,Old oGT,oGTa,March 2016,0.0
finished,iGE,iGTa,March 2016,0.0
applied,iGTa,iGTa,March 2016,0.0
applied,iGTe,iGTe,March 2016,0.0
finished,Old iGT,iGTa,March 2016,3.0
finished,Old iGV,iGV,March 2016,190.0
approved,Old iGT,iGTa,March 2016,2.0
applied,iGE,iGTa,March 2016,7.0
approved,iGE,iGTa,March 2016,0.0
applied,iGV,iGV,March 2016,0.0
approved,iGV,iGV,March 2016,0.0
applied,Old iGV,iGV,March 2016,412.0
approved,iGTe,iGTe,March 2016,0.0
applied,Old iGT,iGTa,March 2016,148.0
approved,iGTa,iGTa,March 2016,0.0
remote,oGTe,oGTe,March 2016,0.0
remote,oGTa,oGTa,March 2016,0.0
remote,iGTe,iGTe,March 2016,0.0
remote,Old oGV,oGV,March 2016,0.0
remote,iGTa,iGTa,March 2016,0.0
remote,iGV,iGV,March 2016,0.0
finished,oGTe,oGTe,March 2016,0.0
remote,Old oGT,oGTa,March 2016,0.0
finished,oGTa,oGTa,March 2016,0.0
remote,oGE,oGTa,March 2016,0.0
finished,oGV,oGV,March 2016,0.0
remote,oGV,oGV,March 2016,0.0
finished,oGE,oGTa,March 2016,0.0
remote,Old iGV,iGV,March 2016,0.0
applied,Old oGT,oGTa,March 2016,9.0
finished,Old oGT,oGTa,March 2016,4.0
finished,Old oGV,oGV,March 2016,21.0
applied,oGE,oGTa,March 2016,2.0
remote,iGE,iGTa,March 2016,0.0
applied,oGV,oGV,March 2016,0.0
applied,oGTa,oGTa,March 2016,0.0
remote,Old iGT,iGTa,March 2016,0.0
applied,oGTe,oGTe,March 2016,0.0
o,oGV,oGV,March 2016,0.0
o,oGT Old,oGTa,March 2016,0.0
o,oGE,oGTa,March 2016,2.0
o,oGV,oGV,March 2016,71.0
o,oGTa,oGTa,March 2016,34.0
o,oGTe,oGTe,March 2016,0.0
i,iGV,iGV,March 2016,19.0
i,iGT Old,iGTa,March 2016,11.0
i,iGE,iGTa,March 2016,0.0
i,iGV,iGV,March 2016,0.0
i,iGTa,iGTa,March 2016,0.0
i,iGTe,iGTe,March 2016,0.0
total,Total,Total,March 2016,585.0
total,Total,Total,March 2016,69.0
accepted,Total,Total,March 2016,41.0
total,Total,Total,March 2016,31.0
total,Total,Total,March 2016,23.0
realized,Total,Total,March 2016,0.0
total,Total,Total,March 2016,218.0
total,Total,Total,March 2016,1.0
matched,oGE,oGTa,April 2016,0.0
realized,Old iGT,iGTa,April 2016,1.0
realized,Old iGV,iGV,April 2016,11.0
matched,oGTe,oGTe,April 2016,0.0
matched,oGTa,oGTa,April 2016,0.0
matched,oGV,oGV,April 2016,0.0
realized,iGTa,iGTa,April 2016,0.0
realized,iGV,iGV,April 2016,0.0
realized,iGTe,iGTe,April 2016,0.0
an,oGTe,oGTe,April 2016,0.0
matched,Old oGT,oGTa,April 2016,0.0
an,oGTa,oGTa,April 2016,0.0
matched,Old oGV,oGV,April 2016,34.0
an,oGV,oGV,April 2016,0.0
realized,iGE,iGTa,April 2016,0.0
an,iGV,iGV,April 2016,0.0
an,iGE,iGTa,April 2016,0.0
an,iGTa,iGTa,April 2016,0.0
an,iGTe,iGTe,April 2016,0.0
an,Old iGT,iGTa,April 2016,4.0
approved,Old iGV,iGV,April 2016,178.0
an,Old iGV,iGV,April 2016,218.0
finished,iGTa,iGTa,April 2016,0.0
finished,iGV,iGV,April 2016,0.0
finished,iGTe,iGTe,April 2016,0.0
realized,oGTe,oGTe,April 2016,0.0
matched,iGTe,iGTe,April 2016,0.0
realized,oGTa,oGTa,April 2016,0.0
matched,iGTa,iGTa,April 2016,0.0
realized,oGV,oGV,April 2016,0.0
matched,iGV,iGV,April 2016,0.0
realized,oGE,oGTa,April 2016,0.0
matched,iGE,iGTa,April 2016,1.0
realized,Old oGT,oGTa,April 2016,2.0
matched,Old iGT,iGTa,April 2016,6.0
realized,Old oGV,oGV,April 2016,1.0
matched,Old iGV,iGV,April 2016,443.0
an,oGE,oGTa,April 2016,0.0
approved,Old oGT,oGTa,April 2016,0.0
approved,Old oGV,oGV,April 2016,25.0
an,Old oGT,oGTa,April 2016,0.0
approved,oGV,oGV,April 2016,0.0
an,Old oGV,oGV,April 2016,28.0
approved,oGE,oGTa,April 2016,0.0
completed,Old iGV,iGV,April 2016,0.0
applied,Old oGV,oGV,April 2016,57.0
completed,iGTa,iGTa,April 2016,0.0
completed,iGTe,iGTe,April 2016,0.0
completed,oGE,oGTa,April 2016,0.0
approved,oGTe,oGTe,April 2016,0.0
completed,iGV,iGV,April 2016,0.0
completed,oGV,oGV,April 2016,0.0
approved,oGTa,oGTa,April 2016,0.0
completed,oGTa,oGTa,April 2016,0.0
completed,oGTe,oGTe,April 2016,0.0
completed,iGE,iGTa,April 2016,0.0
completed,Old iGT,iGTa,April 2016,0.0
completed,Old oGV,oGV,April 2016,0.0
completed,Old oGT,oGTa,April 2016,0.0
finished,iGE,iGTa,April 2016,0.0
applied,iGTa,iGTa,April 2016,0.0
applied,iGTe,iGTe,April 2016,0.0
finished,Old iGT,iGTa,April 2016,1.0
finished,Old iGV,iGV,April 2016,29.0
approved,Old iGT,iGTa,April 2016,5.0
applied,iGE,iGTa,April 2016,0.0
approved,iGE,iGTa,April 2016,0.0
applied,iGV,iGV,April 2016,0.0
approved,iGV,iGV,April 2016,0.0
applied,Old iGV,iGV,April 2016,1114.0
approved,iGTe,iGTe,April 2016,0.0
applied,Old iGT,iGTa,April 2016,134.0
approved,iGTa,iGTa,April 2016,0.0
remote,oGTe,oGTe,April 2016,0.0
remote,oGTa,oGTa,April 2016,0.0
remote,iGTe,iGTe,April 2016,0.0
remote,Old oGV,oGV,April 2016,0.0
remote,iGTa,iGTa,April 2016,0.0
remote,iGV,iGV,April 2016,0.0
finished,oGTe,oGTe,April 2016,0.0
remote,Old oGT,oGTa,April 2016,0.0
finished,oGTa,oGTa,April 2016,0.0
remote,oGE,oGTa,April 2016,0.0
finished,oGV,oGV,April 2016,0.0
remote,oGV,oGV,April 2016,0.0
finished,oGE,oGTa,April 2016,0.0
remote,Old iGV,iGV,April 2016,0.0
applied,Old oGT,oGTa,April 2016,12.0
finished,Old oGT,oGTa,April 2016,2.0
finished,Old oGV,oGV,April 2016,7.0
applied,oGE,oGTa,April 2016,3.0
remote,iGE,iGTa,April 2016,0.0
applied,oGV,oGV,April 2016,0.0
applied,oGTa,oGTa,April 2016,0.0
remote,Old iGT,iGTa,April 2016,0.0
applied,oGTe,oGTe,April 2016,0.0
o,oGV,oGV,April 2016,0.0
o,oGT Old,oGTa,April 2016,0.0
o,oGE,oGTa,April 2016,0.0
o,oGV,oGV,April 2016,39.0
o,oGTa,oGTa,April 2016,21.0
o,oGTe,oGTe,April 2016,0.0
i,iGV,iGV,April 2016,15.0
