status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Realized,Old iGT,iGTa,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Realized,Old iGV,iGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,iGTa,iGTa,January 2021,4.0,2021-01-01,Realized,JAN,20.21
Realized,iGV,iGV,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Realized,iGTe,iGTe,January 2021,2.0,2021-01-01,Realized,JAN,20.21
Accepted,oGTe,oGTe,January 2021,1.0,2021-01-01,Accepted,JAN,20.21
Accepted,oGTa,oGTa,January 2021,11.0,2021-01-01,Accepted,JAN,20.21
Accepted,oGV,oGV,January 2021,117.0,2021-01-01,Accepted,JAN,20.21
Realized,iGE,iGTa,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Accepted,iGV,iGV,January 2021,117.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGE,iGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGTa,iGTa,January 2021,3.0,2021-01-01,Accepted,JAN,20.21
Accepted,iGTe,iGTe,January 2021,2.0,2021-01-01,Accepted,JAN,20.21
Accepted,Old iGT,iGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,Old iGV,iGV,January 2021,3.0,2021-01-01,Approved,JAN,20.21
Accepted,Old iGV,iGV,January 2021,9.0,2021-01-01,Accepted,JAN,20.21
Finished,iGTa,iGTa,January 2021,2.0,2021-01-01,Finished,JAN,20.21
Finished,iGV,iGV,January 2021,5.0,2021-01-01,Finished,JAN,20.21
Finished,iGTe,iGTe,January 2021,1.0,2021-01-01,Finished,JAN,20.21
Realized,oGTe,oGTe,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Realized,oGTa,oGTa,January 2021,4.0,2021-01-01,Realized,JAN,20.21
Realized,oGV,oGV,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Realized,oGE,oGTa,January 2021,5.0,2021-01-01,Realized,JAN,20.21
Realized,Old oGT,oGTa,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Realized,Old oGV,oGV,January 2021,0.0,2021-01-01,Realized,JAN,20.21
Accepted,oGE,oGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,Old oGT,oGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Approved,Old oGV,oGV,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Accepted,Old oGT,oGTa,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,oGV,oGV,January 2021,26.0,2021-01-01,Approved,JAN,20.21
Accepted,Old oGV,oGV,January 2021,0.0,2021-01-01,Accepted,JAN,20.21
Approved,oGE,oGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Completed,Old iGV,iGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Applied,Old oGV,oGV,January 2021,2.0,2021-01-01,Applied,JAN,20.21
Completed,iGTa,iGTa,January 2021,1.0,2021-01-01,Completed,JAN,20.21
Completed,iGTe,iGTe,January 2021,1.0,2021-01-01,Completed,JAN,20.21
Completed,oGE,oGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Approved,oGTe,oGTe,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Completed,iGV,iGV,January 2021,4.0,2021-01-01,Completed,JAN,20.21
Completed,oGV,oGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Approved,oGTa,oGTa,January 2021,3.0,2021-01-01,Approved,JAN,20.21
Completed,oGTa,oGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,oGTe,oGTe,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,iGE,iGTa,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,Old iGT,iGTa,January 2021,2.0,2021-01-01,Completed,JAN,20.21
Completed,Old oGV,oGV,January 2021,0.0,2021-01-01,Completed,JAN,20.21
Completed,Old oGT,oGTa,January 2021,1.0,2021-01-01,Completed,JAN,20.21
Finished,iGE,iGTa,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Applied,iGTa,iGTa,January 2021,468.0,2021-01-01,Applied,JAN,20.21
Applied,iGTe,iGTe,January 2021,330.0,2021-01-01,Applied,JAN,20.21
Finished,Old iGT,iGTa,January 2021,8.0,2021-01-01,Finished,JAN,20.21
Finished,Old iGV,iGV,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Approved,Old iGT,iGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Applied,iGE,iGTa,January 2021,0.0,2021-01-01,Applied,JAN,20.21
Approved,iGE,iGTa,January 2021,0.0,2021-01-01,Approved,JAN,20.21
Applied,iGV,iGV,January 2021,408.0,2021-01-01,Applied,JAN,20.21
Approved,iGV,iGV,January 2021,42.0,2021-01-01,Approved,JAN,20.21
Applied,Old iGV,iGV,January 2021,18.0,2021-01-01,Applied,JAN,20.21
Approved,iGTe,iGTe,January 2021,2.0,2021-01-01,Approved,JAN,20.21
Applied,Old iGT,iGTa,January 2021,0.0,2021-01-01,Applied,JAN,20.21
Approved,iGTa,iGTa,January 2021,3.0,2021-01-01,Approved,JAN,20.21
Remote Realized,oGTe,oGTe,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Remote Realized,oGTa,oGTa,January 2021,1.0,2021-01-01,Remote Realized,JAN,20.21
Remote Realized,iGTe,iGTe,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Remote Realized,Old oGV,oGV,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Remote Realized,iGTa,iGTa,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Remote Realized,iGV,iGV,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Finished,oGTe,oGTe,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Remote Realized,Old oGT,oGTa,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Finished,oGTa,oGTa,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Remote Realized,oGE,oGTa,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Finished,oGV,oGV,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Remote Realized,oGV,oGV,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Finished,oGE,oGTa,January 2021,0.0,2021-01-01,Finished,JAN,20.21
Remote Realized,Old iGV,iGV,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Applied,Old oGT,oGTa,January 2021,0.0,2021-01-01,Applied,JAN,20.21
Finished,Old oGT,oGTa,January 2021,4.0,2021-01-01,Finished,JAN,20.21
Finished,Old oGV,oGV,January 2021,2.0,2021-01-01,Finished,JAN,20.21
Applied,oGE,oGTa,January 2021,0.0,2021-01-01,Applied,JAN,20.21
Remote Realized,iGE,iGTa,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Applied,oGV,oGV,January 2021,411.0,2021-01-01,Applied,JAN,20.21
Applied,oGTa,oGTa,January 2021,195.0,2021-01-01,Applied,JAN,20.21
Remote Realized,Old iGT,iGTa,January 2021,0.0,2021-01-01,Remote Realized,JAN,20.21
Applied,oGTe,oGTe,January 2021,24.0,2021-01-01,Applied,JAN,20.21
Open,oGV,oGV,January 2021,1.0,2021-01-01,Open,JAN,20.21
Open,oGT Old,oGTa,January 2021,0.0,2021-01-01,Open,JAN,20.21
Open,oGE,oGTa,January 2021,0.0,2021-01-01,Open,JAN,20.21
Open,oGV,oGV,January 2021,194.0,2021-01-01,Open,JAN,20.21
Open,oGTa,oGTa,January 2021,96.0,2021-01-01,Open,JAN,20.21
Open,oGTe,oGTe,January 2021,19.0,2021-01-01,Open,JAN,20.21
Open,iGV,iGV,January 2021,0.0,2021-01-01,Open,JAN,20.21
Open,iGT Old,iGTa,January 2021,0.0,2021-01-01,Open,JAN,20.21
Open,iGE,iGTa,January 2021,0.0,2021-01-01,Open,JAN,20.21
Open,iGV,iGV,January 2021,6.0,2021-01-01,Open,JAN,20.21
Open,iGTa,iGTa,January 2021,5.0,2021-01-01,Open,JAN,20.21
Open,iGTe,iGTe,January 2021,2.0,2021-01-01,Open,JAN,20.21
Total,Total,Total,January 2021,1856.0,2021-01-01,Total,JAN,20.21
Total,Total,Total,January 2021,376.0,2021-01-01,Total,JAN,20.21
Accepted L,Total,Total,January 2021,260.0,2021-01-01,Accepted L,JAN,20.21
Total,Total,Total,January 2021,79.0,2021-01-01,Total,JAN,20.21
Total,Total,Total,January 2021,20.0,2021-01-01,Total,JAN,20.21
Realized,Total,Total,January 2021,1.0,2021-01-01,Realized,JAN,20.21
Total,Total,Total,January 2021,22.0,2021-01-01,Total,JAN,20.21
Total,Total,Total,January 2021,9.0,2021-01-01,Total,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
,,,January 2021,,2021-01-01,,JAN,20.21
