index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
243,Turkey,,oGV,23.24,2023,Turkey - 2023,22.0,45.0,5.0,6.0,9.0,77.0,284.0,111.0,42.0,15.0,,3.0,619.0
244,Turkey,,oGV,23.24,2023,Turkey - 2023,19.0,40.0,5.0,4.0,6.0,74.0,264.0,102.0,39.0,14.0,,1.0,568.0
245,Turkey,,oGV,24.25,2024,Turkey - 2024,55.0,68.0,45.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,,,229.0
246,Turkey,,oGV,24.25,2024,Turkey - 2024,246.0,346.0,303.0,445.0,35.0,0.0,0.0,0.0,0.0,0.0,,,1375.0
247,Turkey,,oGV,24.25,2024,Turkey - 2024,109.0,139.0,133.0,236.0,10.0,0.0,0.0,0.0,0.0,0.0,,,627.0
248,Turkey,,oGV,24.25,2024,Turkey - 2024,111.0,128.0,132.0,232.0,8.0,0.0,0.0,0.0,0.0,0.0,,,611.0
249,Turkey,,oGV,24.25,2024,Turkey - 2024,25.0,5.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,,,46.0
250,Turkey,,oGV,24.25,2024,Turkey - 2024,19.0,55.0,7.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,,,97.0
251,Turkey,,oGV,24.25,2024,Turkey - 2024,16.0,52.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,77.0
252,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,
291,Turkey,,Total,21.22,2021,Turkey - 2021,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0,4.0
292,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,
298,Turkey,,Total,22.23,2022,Turkey - 2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
299,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,
305,Turkey,,Total,23.24,2023,Turkey - 2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
306,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,
312,Turkey,,Total,24.25,2024,Turkey - 2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
313,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,
