"Function: oGTa, Term: 15.16"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,13.0
Applied,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,9.0
Accepted,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Approved,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Realized,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Finished,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,USJ,nan,oGTa,15.16,2015,USJ - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 16.17"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,2.0,0.0,13.0,10.0,6.0,6.0,0.0,6.0,6.0,2.0,3.0,54.0
Applied,USJ,nan,oGTa,16.17,2016,USJ - 2016,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0
Accepted,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approved,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Realized,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finished,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Completed,USJ,nan,oGTa,16.17,2016,USJ - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

"Function: oGTa, Term: 17.18"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,USJ,nan,oGTa,17.18,2017,USJ - 2017,6.0,4.0,22.0,16.0,20.0,13.0,9.0,9.0,4.0,1.0,9.0,19.0,132.0
Applied,USJ,nan,oGTa,17.18,2017,USJ - 2017,1.0,5.0,3.0,6.0,4.0,11.0,5.0,6.0,3.0,3.0,5.0,6.0,58.0
Accepted,USJ,nan,oGTa,17.18,2017,USJ - 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
