"Function: oGTa, Term: 15.16"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0
Applied,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0
Accepted,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Approved,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Realized,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Finished,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
Completed,CN,nan,oGTa,15.16,2015,CN - 2015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0

"Function: oGTa, Term: 16.17"
Index,Entity,status2,Function,Term,Year,EY Year,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
Open,CN,nan,oGTa,16.17,2016,CN - 2016,1.0,1.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,17.0,3.0,1.0,39.0
Applied,CN,nan,oGTa,16.17,2016,CN - 2016,3.0,6.0,5.0,3.0,7.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,59.0
Accepted,CN,nan,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
Approved,CN,nan,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
Realized,CN,nan,oGTa,16.17,2016,CN - 2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
