index,Entity,Function,Term,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,Total
0,872,oGTa,15.16,,,,,,,,,,,,4.0,4.0
1,872,oGTa,15.16,,,,,,,,,,,,2.0,2.0
2,872,oGTa,15.16,,,,,,,,,,,,0.0,0.0
3,872,oGTa,15.16,,,,,,,,,,,,0.0,0.0
4,872,oGTa,15.16,,,,,,,,,,,,0.0,0.0
5,872,oGTa,15.16,,,,,,,,,,,,0.0,0.0
6,872,oGTa,15.16,,,,,,,,,,,,0.0,0.0
7,872,oGTa,16.17,1.0,1.0,2.0,7.0,2.0,2.0,2.0,1.0,0.0,17.0,3.0,1.0,39.0
8,872,oGTa,16.17,3.0,6.0,5.0,3.0,7.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,59.0
9,872,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
10,872,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
11,872,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,872,oGTa,16.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,872,oGTa,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,872,oGTa,17.18,1.0,2.0,25.0,47.0,24.0,1.0,9.0,5.0,1.0,11.0,13.0,5.0,144.0
15,872,oGTa,17.18,2.0,1.0,6.0,21.0,35.0,17.0,10.0,8.0,5.0,5.0,3.0,3.0,116.0
16,872,oGTa,17.18,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0
17,872,oGTa,17.18,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0
18,872,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
19,872,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
20,872,oGTa,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,872,oGTa,18.19,13.0,5.0,14.0,12.0,0.0,9.0,8.0,12.0,7.0,12.0,3.0,2.0,97.0
22,872,oGTa,18.19,5.0,8.0,14.0,16.0,7.0,8.0,19.0,13.0,8.0,11.0,10.0,11.0,130.0
23,872,oGTa,18.19,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0
24,872,oGTa,18.19,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0
25,872,oGTa,18.19,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
26,872,oGTa,18.19,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0
27,872,oGTa,18.19,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
28,872,oGTa,19.20,20.0,11.0,8.0,5.0,4.0,5.0,6.0,7.0,6.0,9.0,10.0,,91.0
29,872,oGTa,19.20,21.0,13.0,14.0,14.0,6.0,5.0,6.0,11.0,13.0,12.0,8.0,,123.0
30,872,oGTa,19.20,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0
31,872,oGTa,19.20,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0
32,872,oGTa,19.20,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,6.0
33,872,oGTa,19.20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,4.0
34,872,oGTa,19.20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,4.0
35,872,oGTa,21.22,,,,,,,,,,,,11.0,11.0
36,872,oGTa,21.22,,,,,,,,,,,,6.0,6.0
37,872,oGTa,21.22,,,,,,,,,,,,1.0,1.0
38,872,oGTa,21.22,,,,,,,,,,,,1.0,1.0
39,872,oGTa,21.22,,,,,,,,,,,,0.0,0.0
40,872,oGTa,21.22,,,,,,,,,,,,0.0,0.0
