status,function,function_new,Month,APP
matched,oGE,oGTa,January 2022,0.0
realized,Old iGT,iGTa,January 2022,0.0
realized,Old iGV,iGV,January 2022,0.0
matched,oGTe,oGTe,January 2022,0.0
matched,oGTa,oGTa,January 2022,0.0
matched,oGV,oGV,January 2022,0.0
realized,iGTa,iGTa,January 2022,1.0
realized,iGV,iGV,January 2022,2.0
realized,iGTe,iGTe,January 2022,0.0
an,oGTe,oGTe,January 2022,0.0
matched,Old oGT,oGTa,January 2022,0.0
an,oGTa,oGTa,January 2022,0.0
matched,Old oGV,oGV,January 2022,0.0
an,oGV,oGV,January 2022,0.0
realized,iGE,iGTa,January 2022,0.0
finished,iGTa,iGTa,January 2022,0.0
finished,iGV,iGV,January 2022,0.0
finished,iGTe,iGTe,January 2022,0.0
realized,oGTe,oGTe,January 2022,0.0
matched,iGTe,iGTe,January 2022,0.0
realized,oGTa,oGTa,January 2022,0.0
matched,iGTa,iGTa,January 2022,6.0
realized,oGV,oGV,January 2022,0.0
matched,iGV,iGV,January 2022,15.0
realized,oGE,oGTa,January 2022,0.0
matched,iGE,iGTa,January 2022,0.0
realized,Old oGT,oGTa,January 2022,0.0
matched,Old iGT,iGTa,January 2022,0.0
realized,Old oGV,oGV,January 2022,0.0
matched,Old iGV,iGV,January 2022,0.0
an,oGE,oGTa,January 2022,0.0
an,Old oGT,oGTa,January 2022,0.0
an,Old oGV,oGV,January 2022,0.0
approved,oGTe,oGTe,January 2022,0.0
approved,oGTa,oGTa,January 2022,0.0
finished,iGE,iGTa,January 2022,0.0
finished,Old iGT,iGTa,January 2022,0.0
finished,Old iGV,iGV,January 2022,0.0
remote,oGTe,oGTe,January 2022,0.0
remote,oGTa,oGTa,January 2022,0.0
remote,Old oGV,oGV,January 2022,0.0
remote,Old oGT,oGTa,January 2022,0.0
remote,oGE,oGTa,January 2022,0.0
remote,oGV,oGV,January 2022,0.0
an,iGV,iGV,January 2022,10.0
an,iGE,iGTa,January 2022,0.0
an,iGTa,iGTa,January 2022,5.0
an,iGTe,iGTe,January 2022,0.0
an,Old iGT,iGTa,January 2022,0.0
approved,Old iGV,iGV,January 2022,0.0
an,Old iGV,iGV,January 2022,0.0
approved,Old oGT,oGTa,January 2022,0.0
approved,Old oGV,oGV,January 2022,0.0
approved,oGV,oGV,January 2022,0.0
approved,oGE,oGTa,January 2022,0.0
completed,Old iGV,iGV,January 2022,0.0
applied,Old oGV,oGV,January 2022,0.0
completed,iGTa,iGTa,January 2022,0.0
completed,iGTe,iGTe,January 2022,0.0
completed,oGE,oGTa,January 2022,0.0
completed,iGV,iGV,January 2022,0.0
completed,oGV,oGV,January 2022,0.0
completed,oGTa,oGTa,January 2022,0.0
completed,oGTe,oGTe,January 2022,0.0
completed,iGE,iGTa,January 2022,0.0
completed,Old iGT,iGTa,January 2022,0.0
completed,Old oGV,oGV,January 2022,0.0
